Column1,                                     ,date,amount,transaction_id,rate, ,product,,,,
34,90264,7/7/2021 12:24,509,pr_1625660682555244509,0.03,0,pr,,,,
35,109114,11/6/2022 16:02,370,pr_1654963348440333370,0.03,0,pr,,,,
36,135139,23/07/2022 13:46:50,283,pp_1658584009520502283,0.025,2,pp,,,,
37,22379,5/6/2022 5:55,328,pos_1654408515117760328,0.01,2,pos,,,,
38,63189,24/10/2022 19:44:39,56,pos_1666640679200955056,0.01,2,pos,,,,
39,124210,29/07/2021 17:27:00,652,pp_1627579620383204652,0.025,2,pp,,,,
40,11609,3/2/2022 17:17,53,pos_1643908671210901053,0.01,2,pos,,,,
41,123125,26/05/2021 17:40:51,517,pp_1622050851362049517,0.025,2,pp,,,,
42,24192,20/06/2022 09:36:40,409,pos_1655717799978495409,0.01,2,pos,,,,
43,130432,5/4/2022 12:28,1128,pp_1649161707471435128,0.025,2,pp,,,,
44,3401,26/07/2021 19:11:31,5,pos_1627326690624655005,0.01,2,pos,,,,
45,121234,31/12/2022 09:57:30,1124,pr_1672480650451790124,0.03,0,pr,,,,
46,121003,27/12/2022 07:05:53,2450,pr_1672124752539726450,0.03,0,pr,,,,
47,111014,12/7/2022 20:07,1744,pr_1657656467731960744,0.03,0,pr,,,,
48,79626,24/12/2022 17:29:50,17,pos_1671902990339186017,0.01,2,pos,,,,
49,23431,14/06/2022 09:29:02,209,pos_1655198942261579209,0.01,2,pos,,,,
50,75640,11/12/2022 11:57,204,pos_1670759839194620204,0.01,2,pos,,,,
51,60803,13/10/2022 15:54:15,63,pos_1665676455136684063,0.01,2,pos,,,,
52,83039,27/01/2021 11:57:56,489,pr_1611748676347519489,0.03,0,pr,,,,
53,118284,11/11/2022 20:47,713,pr_1668199644264425713,0.03,0,pr,,,,
54,64206,28/10/2022 04:10:35,146,pos_1666930234641247146,0.01,2,pos,,,,
55,35643,3/9/2022 19:53,96,pos_1662234784123156096,0.01,2,pos,,,,
56,27523,14/07/2022 08:47:04,126,pos_1657788424390499126,0.01,2,pos,,,,
57,137816,21/09/2022 11:58:45,774,pp_1663761524719911774,0.025,2,pp,,,,
58,103703,19/03/2022 05:55:38,806,pr_1647669337879288806,0.03,0,pr,,,,
59,129537,13/03/2022 07:10:32,133,pp_1647155432356934133,0.025,2,pp,,,,
60,41604,4/10/2022 2:21,87,pos_1664850115541143087,0.01,2,pos,,,,
61,118142,8/11/2022 6:20,819,pr_1667888404544911819,0.03,0,pr,,,,
62,11684,4/2/2022 7:57,227,pos_1643961433554109227,0.01,2,pos,,,,
63,113344,18/08/2022 08:46:58,492,pr_1660812418192830492,0.03,0,pr,,,,
64,49983,11/11/2022 9:02,234,pos_1668157341476891234,0.01,2,pos,,,,
65,51968,19/11/2022 10:24:51,339,pos_1668853490845298339,0.01,2,pos,,,,
66,77824,19/12/2022 14:37:01,35,pos_1671460620751962035,0.01,2,pos,,,,
67,37172,12/9/2022 4:20,180,pos_1662956442105170180,0.01,2,pos,,,,
68,111784,24/07/2022 08:11:01,63,pr_1658650260686768063,0.03,0,pr,,,,
69,1883,17/05/2021 17:45:48,91,pos_1621273548457255091,0.01,2,pos,,,,
70,62136,19/10/2022 12:25:39,346,pos_1666182338982856346,0.01,2,pos,,,,
71,69588,20/11/2022 10:13:30,73,pos_1668939209899975073,0.01,2,pos,,,,
72,97308,23/11/2021 09:40:10,342,pr_1637660410198461342,0.03,0,pr,,,,
73,9956,6/1/2022 13:30,184,pos_1641475818557928184,0.01,2,pos,,,,
74,107037,10/5/2022 14:14,81,pr_1652192048506710081,0.03,0,pr,,,,
75,83583,9/2/2021 18:18,576,pr_1612894711233266576,0.03,0,pr,,,,
76,66068,5/11/2022 15:46,141,pos_1667663189970627141,0.01,2,pos,,,,
77,72906,2/12/2022 11:08,55,pos_1669979299714853055,0.01,2,pos,,,,
78,90317,9/7/2021 1:51,1605,pr_1625795496406476605,0.03,0,pr,,,,
79,128469,9/2/2022 21:49,699,pp_1644443347729608699,0.025,2,pp,,,,
80,71159,26/11/2022 12:07:42,47,pos_1669464461531365047,0.01,2,pos,,,,
81,116915,16/10/2022 13:57:31,1790,pr_1665928651042118790,0.03,0,pr,,,,
82,96915,15/11/2021 20:40:09,946,pr_1637008808683447946,0.03,0,pr,,,,
83,29581,28/07/2022 16:06:35,54,pos_1659024395347323054,0.01,2,pos,,,,
84,77531,18/12/2022 18:22:24,116,pos_1671387743820631116,0.01,2,pos,,,,
85,106959,8/5/2022 12:49,1337,pr_1652014165955658337,0.03,0,pr,,,,
86,5912,13/10/2021 01:41:18,41,pos_1634089277752912041,0.01,2,pos,,,,
87,38056,16/09/2022 09:36:38,139,pos_1663320998340518139,,,pos,,,,
88,38366,18/09/2022 18:36:47,241,pos_1663526207371647241,0.01,2,pos,,,,
89,66894,9/11/2022 13:52,65,pos_1668001956802877065,0.01,2,pos,,,,
90,39339,23/09/2022 11:36:29,124,pos_1663932988557048124,0.01,2,pos,,,,
91,76945,15/12/2022 12:55:50,195,pos_1671108949627851195,0.01,2,pos,,,,
92,107840,22/05/2022 07:23:42,241,pr_1653204221832870241,0.03,0,pr,,,,
93,65935,4/11/2022 5:52,167,pos_1667541131955716167,0.01,2,pos,,,,
94,117309,23/10/2022 02:37:54,11232323237,pr_1666492673695977987,0.03,0,pr,,,,
95,22561,6/6/2022 11:14,102,pos_1654514042162160102,0.01,2,pos,,,,
96,24756,24/06/2022 07:10:06,133,pos_1656054605508242133,0.01,2,pos,,,,
97,106389,30/04/2022 14:13:55,668,pr_1651328034641714668,0.03,0,pr,,,,
98,12538,17/02/2022 16:09:25,50,pos_1645114165389048050,0.01,2,pos,,,,
99,101817,15/02/2022 02:24:16,527,pr_1644891855987558527,0.03,0,pr,,,,
100,107573,19/05/2022 16:24:14,785,pr_1652977453894810785,0.03,0,pr,,,,
101,130628,10/4/2022 10:41,1960,pp_1649587269432760960,0.025,2,pp,,,,
102,141391,17/12/2022 07:49:11,2210,pp_1671263350612891210,0.025,2,pp,,,,
103,78762,21/12/2022 15:47:11,391,pos_1671637631250241391,0.01,2,pos,,,,
104,101659,12/2/2022 11:01,81,pr_1644663692643910081,0.03,0,pr,,,,
105,30203,1/8/2022 7:56,129,pos_1659340592524727129,0.01,2,pos,,,,
106,58053,30/09/2022 14:35:17,133,pos_1664548516895632133,0.01,2,pos,,,,
107,0,1/1/2021 8:20,77,pos_1609489215196978077,0.01,2,pos,,,,
108,126814,4/12/2021 10:25,215,pp_1638613523509471215,0.025,2,pp,,,,
109,17759,23/04/2022 18:53:22,78,pos_1650740001903667078,0.01,2,pos,,,,
110,138137,27/09/2022 10:08:46,978,pp_1664273325524868978,0.025,2,pp,,,,
111,80499,27/12/2022 19:16:25,45,pos_1672168585344256045,0.01,2,pos,,,,
112,25254,28/06/2022 00:11:02,41,pos_1656375062343517041,0.01,2,pos,,,,
113,104484,31/03/2022 13:28:30,1706,pr_1648733309818408706,0.03,0,pr,,,,
114,113279,16/08/2022 19:16:42,1487,pr_1660677401703280487,0.03,0,pr,,,,
115,121491,25/01/2021 11:08:12,1775,pp_1611572891749736775,0.025,2,pp,,,,
116,14773,20/03/2022 18:06:52,38,pos_1647799611816313038,0.01,2,pos,,,,
117,139762,6/11/2022 7:29,846,pp_1667719746985670846,0.025,2,pp,,,,
118,119332,29/11/2022 13:30:21,155,pr_1669728621363693155,0.03,0,pr,,,,
119,41172,2/10/2022 11:33,124,pos_1664710394878268124,0.01,2,pos,,,,
120,22978,10/6/2022 2:36,291,pos_1654828566966962291,0.01,2,pos,,,,
121,72687,1/12/2022 9:07,182,pos_1669885630036266182,0.01,2,pos,,,,
122,17751,22/04/2022 15:20:17,17,pos_1650640816574106017,0.01,2,pos,,,,
123,88522,1/6/2021 11:56,591,pr_1622548585568418591,0.03,0,pr,,,,
124,138494,5/10/2022 18:38,1690,pp_1664995086692029690,0.025,2,pp,,,,
125,70242,22/11/2022 14:47:53,64,pos_1669128472877324064,0.01,2,pos,,,,
126,66649,8/11/2022 17:04,134,pos_1667927081501876134,0.01,2,pos,,,,
127,24039,18/06/2022 04:26:15,216,pos_1655526374664998216,0.01,2,pos,,,,
128,105573,18/04/2022 11:23:29,105,pr_1650281009292439105,0.03,0,pr,,,,
129,80790,28/12/2022 16:52:38,208,pos_1672246357811012208,0.01,2,pos,,,,
130,23371,13/06/2022 14:32:34,68,pos_1655130753767070068,0.01,2,pos,,,,
131,139130,21/10/2022 14:45:12,1311,pp_1666363512118882311,0.025,2,pp,,,,
132,17844,24/04/2022 16:51:35,72,pos_1650819094502595072,0.01,2,pos,,,,
133,88813,7/6/2021 9:48,2413,pr_1623059326442300413,0.03,0,pr,,,,
134,113475,20/08/2022 11:47:01,1374,pr_1660996020616778374,0.03,0,pr,,,,
135,14135,12/3/2022 11:07,25,pos_1647083267939358025,0.01,2,pos,,,,
136,56021,4/12/2022 7:18,88,pos_1670138337969939088,0.01,2,pos,,,,
137,135214,26/07/2022 13:45:56,1514,pp_1658843155931888514,0.025,2,pp,,,,
138,103383,14/03/2022 17:38:05,1363,pr_1647279484591705363,0.03,0,pr,,,,
139,5510,2/10/2021 17:21,194,pos_1633195318533593194,0.01,2,pos,,,,
140,71654,27/11/2022 11:40:32,269,pos_1669549232312802269,0.01,2,pos,,,,
141,30632,4/8/2022 14:34,123232323,pos_1659623664982707098,0.01,2,pos,,,,
142,90966,21/07/2021 15:51:43,400,pr_1626882702692847400,0.03,0,pr,,,,
143,24196,20/06/2022 11:52:30,66,pos_1655725949997988066,0.01,2,pos,,,,
144,141937,30/12/2022 04:03:13,809,pp_1672372992943546809,0.025,2,pp,,,,
145,75225,10/12/2022 2:54,266,pos_1670640849667858266,0.01,2,pos,,,,
146,129041,27/02/2022 12:23:29,814,pp_1645964608560276814,0.025,2,pp,,,,
147,83938,17/02/2021 04:53:07,412,pr_1613537587266656412,0.03,0,pr,,,,
148,116797,14/10/2022 12:16:30,207,pr_1665749790365996207,0.03,0,pr,,,,
149,30736,4/8/2022 10:57,125,pos_1659610653228884125,0.01,2,pos,,,,
150,114766,10/9/2022 11:53,5,pr_1662810799383421005,0.03,0,pr,,,,
151,98419,14/12/2021 09:12:35,334,pr_1639473154734043334,0.03,0,pr,,,,
152,103937,22/03/2022 14:58:58,585,pr_1647961137773806585,0.03,0,pr,,,,
153,115727,27/09/2022 07:30:45,1484,pr_1664263845177002484,0.03,0,pr,,,,
154,117775,31/10/2022 07:09:14,665,pr_1667200153741611665,0.03,0,pr,,,,
155,42967,10/10/2022 11:37,262,pos_1665401848752776262,0.01,2,pos,,,,
156,72636,1/12/2022 13:42,260,pos_1669902173435011260,0.01,2,pos,,,,
157,32408,15/08/2022 17:03:47,254,pos_1660583027185274254,0.01,2,pos,,,,
158,59596,7/10/2022 16:37,160,pos_1665160634099723160,0.01,2,pos,,,,
159,44867,19/10/2022 12:45:12,48,pos_1666183512251553048,0.01,2,pos,,,,
160,78731,21/12/2022 13:20:46,239,pos_1671628846084190239,0.01,2,pos,,,,
161,108539,2/6/2022 15:41,676,pr_1654184468742169676,0.03,0,pr,,,,
162,82699,19/01/2021 14:31:27,643,pr_1611066687460884643,0.03,0,pr,,,,
163,84863,11/3/2021 12:25,375,pr_1615465515597548375,0.03,0,pr,,,,
164,52188,20/11/2022 19:29:37,122,pos_1668972577425696122,0.01,2,pos,,,,
165,45737,23/10/2022 13:21:22,242,pos_1666531281930699242,0.01,2,pos,,,,
166,137998,25/09/2022 12:19:32,588,pp_1664108372262756588,0.025,2,pp,,,,
167,139327,26/10/2022 11:00:41,583,pp_1666782041490767583,0.025,2,pp,,,,
168,36041,5/9/2022 10:49,117,pos_1662374954979875117,0.01,2,pos,,,,
169,118200,9/11/2022 6:27,1020,pr_1667975237385851020,0.03,0,pr,,,,
170,83776,13/02/2021 07:52:38,515,pr_1613202757583606515,0.03,0,pr,,,,
171,54714,29/11/2022 12:52:03,19,pos_1669726323487332019,0.01,2,pos,,,,
172,32839,18/08/2022 13:21:26,126,pos_1660828886299910126,0.01,2,pos,,,,
173,39340,23/09/2022 15:28:48,200,pos_1663946927893764200,0.01,2,pos,,,,
174,139680,4/11/2022 22:39,2070,pp_1667601572303075070,0.025,2,pp,,,,
175,102143,21/02/2022 21:19:49,1490,pr_1645478389061468490,0.03,0,pr,,,,
176,18638,2/5/2022 14:14,380,pos_1651500891736415380,0.01,2,pos,,,,
177,43830,15/10/2022 08:26:57,8,pos_1665822416881444008,0.01,2,pos,,,,
178,126708,29/11/2021 12:08:05,2844,pp_1638187685327221844,0.025,2,pp,,,,
179,45639,22/10/2022 16:15:21,143,pos_1666455320667306143,0.01,2,pos,,,,
180,26637,8/7/2022 20:17,78,pos_1657311449536080078,0.01,2,pos,,,,
181,57348,27/09/2022 10:49:57,417,pos_1664275796926398417,0.01,2,pos,,,,
182,12764,20/02/2022 10:48:48,31,pos_1645354128025054031,0.01,2,pos,,,,
183,79958,25/12/2022 09:08:22,134,pos_1671959301947300134,0.01,2,pos,,,,
184,54687,28/11/2022 09:51:44,26,pos_1669629104102109026,0.01,2,pos,,,,
185,71861,28/11/2022 14:18:56,136,pos_1669645136271607136,0.01,2,pos,,,,
186,2988,9/7/2021 12:21,7,pos_1625833265391658007,0.01,2,pos,,,,
187,137021,6/9/2022 13:10,993,pp_1662469808716690993,0.025,2,pp,,,,
188,52150,20/11/2022 09:14:56,150,pos_1668935696443646150,0.01,2,pos,,,,
189,8620,13/12/2021 06:50:38,138,pos_1639378237629444138,0.01,2,pos,,,,
190,152,12/1/2021 10:32,75,pos_1610447554178418075,0.01,2,pos,,,,
191,40169,28/09/2022 07:06:16,233,pos_1664348775765146233,0.01,2,pos,,,,
192,121099,28/12/2022 09:39:51,1558,pr_1672220390969513558,0.03,0,pr,,,,
193,70513,23/11/2022 05:28:53,186,pos_1669181333105399186,0.01,2,pos,,,,
194,118570,16/11/2022 05:37:55,315,pr_1668577075446146315,0.03,0,pr,,,,
195,15013,22/03/2022 15:46:17,123232323,pos_1647963976568225098,0.01,2,pos,,,,
196,123323,9/6/2021 12:58,588,pp_1623243503838463588,0.025,2,pp,,,,
197,95993,29/10/2021 13:01:31,2555,pr_1635512491160999555,0.03,0,pr,,,,
198,95228,14/10/2021 07:31:40,664,pr_1634196700037300664,0.03,0,pr,,,,
199,119426,1/12/2022 16:09,580,pr_1669910958454583580,0.03,0,pr,,,,
200,94744,5/10/2021 8:26,1424,pr_1633422360242671424,0.03,0,pr,,,,
201,100760,27/01/2022 19:37:32,2008,pr_1643312251543187008,0.03,0,pr,,,,
202,71974,28/11/2022 11:43:43,146,pos_1669635822766381146,0.01,2,pos,,,,
203,80106,26/12/2022 06:13:11,50,pos_1672035191193838050,0.01,2,pos,,,,
204,125267,20/09/2021 16:29:17,1496,pp_1632155357245339496,0.025,2,pp,,,,
205,61345,15/10/2022 06:53:45,325,pos_1665816824808504325,0.01,2,pos,,,,
206,131243,24/04/2022 18:03:48,1632,pp_1650823427621814632,0.025,2,pp,,,,
207,71026,25/11/2022 07:23:35,60,pos_1669361015123225060,0.01,2,pos,,,,
208,132007,11/5/2022 9:13,1896,pp_1652260417553927896,0.025,2,pp,,,,
209,124584,18/08/2021 13:20:52,1264,pp_1629292851657484264,0.025,2,pp,,,,
210,8632,14/12/2021 10:28:49,143,pos_1639477728540958143,0.01,2,pos,,,,
211,62075,19/10/2022 09:14:29,43,pos_1666170868969817043,0.01,2,pos,,,,
212,106659,4/5/2022 0:45,638,pr_1651625135477942638,0.03,0,pr,,,,
213,108193,27/05/2022 12:23:48,371,pr_1653654227754675371,0.03,0,pr,,,,
214,93679,13/09/2021 18:09:43,234,pr_1631556583012585234,0.03,0,pr,,,,
215,22568,7/6/2022 2:38,234,pos_1654569499313594234,0.01,2,pos,,,,
216,108277,29/05/2022 10:11:10,353,pr_1653819070217418353,0.03,0,pr,,,,
217,121118,29/12/2022 11:47:28,11232323236,pr_1672314448473139986,0.03,0,pr,,,,
218,8421,9/12/2021 11:10,116,pos_1639048222626198116,0.01,2,pos,,,,
219,119118,25/11/2022 16:55:46,2120,pr_1669395346099940120,0.03,0,pr,,,,
220,105081,10/4/2022 7:11,208,pr_1649574710792337208,0.03,0,pr,,,,
221,44083,16/10/2022 10:03:19,106,pos_1665914598933787106,0.01,2,pos,,,,
222,44471,18/10/2022 18:11:46,190,pos_1666116706046630190,0.01,2,pos,,,,
223,98825,22/12/2021 08:40:44,993,pr_1640162443929123993,0.03,0,pr,,,,
224,120414,17/12/2022 16:20:36,2574,pr_1671294036439401574,0.03,0,pr,,,,
225,141885,29/12/2022 08:38:53,884,pp_1672303132975448884,0.025,2,pp,,,,
226,105352,15/04/2022 07:33:51,706,pr_1650008030809762706,0.03,0,pr,,,,
227,106821,6/5/2022 13:18,1290,pr_1651843105661565290,0.03,0,pr,,,,
228,131403,29/04/2022 12:41:53,873,pp_1651236112982799873,0.025,2,pp,,,,
229,99665,6/1/2022 16:35,1772,pr_1641486910929144772,0.03,0,pr,,,,
230,108954,9/6/2022 16:26,1384,pr_1654792000360033384,0.03,0,pr,,,,
231,6933,7/11/2021 10:24,118,pos_1636280679663374118,0.01,2,pos,,,,
232,2179,1/6/2021 13:46,50,pos_1622555205996594050,0.01,2,pos,,,,
233,121653,7/2/2021 20:15,507,pp_1612728936481886507,0.025,2,pp,,,,
234,71133,26/11/2022 09:51:15,137,pos_1669456275457628137,0.01,2,pos,,,,
235,59094,5/10/2022 11:48,70,pos_1664970534327014070,0.01,2,pos,,,,
236,43833,15/10/2022 09:31:48,96,pos_1665826307711604096,0.01,2,pos,,,,
237,16500,9/4/2022 20:46,159,pos_1649537187655494159,0.01,2,pos,,,,
238,66151,5/11/2022 14:08,365,pos_1667657336444369365,0.01,2,pos,,,,
239,60530,12/10/2022 17:38,46,pos_1665596307282395046,0.01,2,pos,,,,
240,47228,30/10/2022 08:11:15,192,pos_1667117474585068192,0.01,2,pos,,,,
241,139125,21/10/2022 13:31:09,949,pp_1666359068973132949,0.025,2,pp,,,,
242,78803,22/12/2022 09:44:46,191,pos_1671702286472963191,0.01,2,pos,,,,
243,103824,20/03/2022 14:05:02,2810,pr_1647785102255591810,0.03,0,pr,,,,
244,90221,7/7/2021 5:28,1415,pr_1625635704433842415,0.03,0,pr,,,,
245,92168,15/08/2021 06:55:54,1056,pr_1629010554436120056,0.03,0,pr,,,,
246,108744,5/6/2022 19:55,484,pr_1654458900836031484,0.03,0,pr,,,,
247,125197,18/09/2021 10:31:41,1229,pp_1631961101365240229,0.025,2,pp,,,,
248,92870,29/08/2021 10:25:36,761,pr_1630232735588645761,0.03,0,pr,,,,
249,91141,24/07/2021 18:30:35,861,pr_1627151434933401861,0.03,0,pr,,,,
250,74244,6/12/2022 8:53,119,pos_1670316798652315119,0.01,2,pos,,,,
251,84379,27/02/2021 19:49:40,1728,pr_1614455380329761728,0.03,0,pr,,,,
252,130925,16/04/2022 19:21:53,277,pp_1650136912597713277,0.025,2,pp,,,,
253,86959,28/04/2021 11:14:21,451,pr_1619608461395584451,0.03,0,pr,,,,
254,45125,20/10/2022 12:57:35,140,pos_1666270654850586140,0.01,2,pos,,,,
255,75227,10/12/2022 12:42,108,pos_1670676148730549108,0.01,2,pos,,,,
256,12479,16/02/2022 08:42:32,36,pos_1645000951789460036,0.01,2,pos,,,,
257,128542,12/2/2022 11:36,880,pp_1644665775738681880,0.025,2,pp,,,,
258,126541,20/11/2021 09:39:07,2675,pp_1637401147199276675,0.025,2,pp,,,,
259,27567,15/07/2022 12:45:29,11,pos_1657889129081387011,0.01,2,pos,,,,
260,3964,15/08/2021 12:06:49,249,pos_1629029209301515249,0.01,2,pos,,,,
261,84817,10/3/2021 6:51,889,pr_1615359078566027889,0.03,0,pr,,,,
262,2754,29/06/2021 19:23:05,150,pos_1624994585285750150,0.01,2,pos,,,,
263,90871,19/07/2021 10:06:03,1063,pr_1626689163043011063,0.03,0,pr,,,,
264,103040,9/3/2022 3:12,1853,pr_1646795548606329853,0.03,0,pr,,,,
265,111335,18/07/2022 01:57:00,1295,pr_1658109419856037295,0.03,0,pr,,,,
266,107269,14/05/2022 15:20:12,597,pr_1652541611771707597,0.03,0,pr,,,,
267,20633,21/05/2022 18:57:40,123,pos_1653159459578780123,0.01,2,pos,,,,
268,134097,29/06/2022 22:51:04,1702,pp_1656543063970704702,0.025,2,pp,,,,
269,94470,29/09/2021 10:04:30,103,pr_1632909870213115103,0.03,0,pr,,,,
270,82838,22/01/2021 04:36:11,401,pr_1611290170527461401,0.03,0,pr,,,,
271,98786,21/12/2021 00:06:36,1901,pr_1640045196391957901,0.03,0,pr,,,,
272,88411,29/05/2021 18:39:30,232,pr_1622313570425630232,0.03,0,pr,,,,
273,103210,12/3/2022 7:52,166,pr_1647071547766608166,0.03,0,pr,,,,
274,28974,24/07/2022 14:52:12,24,pos_1658674332453086024,0.01,2,pos,,,,
275,137521,14/09/2022 14:34:23,499,pp_1663166062658516499,0.025,2,pp,,,,
276,60222,10/10/2022 3:15,248,pos_1665371721054528248,0.01,2,pos,,,,
277,40159,27/09/2022 02:11:57,301,pos_1664244716692595301,0.01,2,pos,,,,
278,33762,23/08/2022 07:29:43,51,pos_1661239782729418051,0.01,2,pos,,,,
279,130788,13/04/2022 07:49:46,81,pp_1649836186414571081,0.025,2,pp,,,,
280,39983,26/09/2022 15:25:14,104,pos_1664205913984996104,0.01,2,pos,,,,
281,16838,12/4/2022 11:20,5,pos_1649762451600642005,0.01,2,pos,,,,
282,50370,12/11/2022 13:24,129,pos_1668259457503769129,0.01,2,pos,,,,
283,131831,7/5/2022 14:56,1455,pp_1651935360306413455,0.025,2,pp,,,,
284,28004,18/07/2022 15:18:45,56,pos_1658157525089973056,0.01,2,pos,,,,
285,3907,13/08/2021 00:04:04,14,pos_1628813044013175014,0.01,2,pos,,,,
286,14854,21/03/2022 15:15:53,106,pos_1647875753061496106,0.01,2,pos,,,,
287,125916,20/10/2021 20:31:16,1047,pp_1634761875767685047,0.025,2,pp,,,,
288,114588,7/9/2022 15:01,3772,pr_1662562882553285772,0.03,0,pr,,,,
289,75869,12/12/2022 1:24,124,pos_1670808281715941124,0.01,2,pos,,,,
290,48352,3/11/2022 18:56,85,pos_1667501780903484085,0.01,2,pos,,,,
291,82372,11/1/2021 15:24,756,pr_1610378664512031756,0.03,0,pr,,,,
292,95224,14/10/2021 12:59:09,768,pr_1634216349331850768,0.03,0,pr,,,,
293,59924,9/10/2022 13:32,112,pos_1665322320772318112,0.01,2,pos,,,,
294,108506,2/6/2022 10:27,1300,pr_1654165625954731300,0.03,0,pr,,,,
295,64364,29/10/2022 09:01:18,210,pos_1667034077859763210,0.01,2,pos,,,,
296,43094,11/10/2022 13:48,90,pos_1665496102139135090,0.01,2,pos,,,,
297,34065,25/08/2022 05:13:20,76,pos_1661404400165781076,0.01,2,pos,,,,
298,52883,22/11/2022 02:31:57,90,pos_1669084317458581090,0.01,2,pos,,,,
299,137889,23/09/2022 11:06:26,164,pp_1663931186410868164,0.025,2,pp,,,,
300,136491,26/08/2022 15:58:35,1892,pp_1661529515156522892,0.025,2,pp,,,,
301,133990,26/06/2022 07:21:17,388,pp_1656228076625388388,0.025,2,pp,,,,
302,46882,28/10/2022 13:05:29,74,pos_1666962329391646074,0.01,2,pos,,,,
303,99710,7/1/2022 18:13,65,pr_1641579191567906065,0.03,0,pr,,,,
304,46361,26/10/2022 10:52:41,106,pos_1666781561378547106,0.01,2,pos,,,,
305,111638,21/07/2022 12:41:09,312,pr_1658407269228137312,0.03,0,pr,,,,
306,60469,11/10/2022 10:36,180,pos_1665484604371897180,0.01,2,pos,,,,
307,70160,22/11/2022 15:45:19,154,pos_1669131918818803154,0.01,2,pos,,,,
308,14055,11/3/2022 20:45,15,pos_1647031512857651015,0.01,2,pos,,,,
309,92126,13/08/2021 09:51:38,662,pr_1628848297836731662,0.03,0,pr,,,,
310,100289,19/01/2022 18:01:14,816,pr_1642615273695482816,0.03,0,pr,,,,
311,35656,3/9/2022 5:54,220,pos_1662184455774954220,0.01,2,pos,,,,
312,39020,21/09/2022 13:42:49,315,pos_1663767768815304315,,,pos,,,,
313,10473,15/01/2022 03:23:42,250,pos_1642217021754071250,0.01,2,pos,,,,
314,94117,22/09/2021 19:17:37,2117,pr_1632338257027375117,0.03,0,pr,,,,
315,123955,16/07/2021 08:37:07,1650,pp_1626424626856103650,0.025,2,pp,,,,
316,21939,1/6/2022 9:26,130,pos_1654075601189186130,0.01,2,pos,,,,
317,57365,27/09/2022 10:05:43,224,pos_1664273143204499224,0.01,2,pos,,,,
318,36590,8/9/2022 11:59,69,pos_1662638387793365069,0.01,2,pos,,,,
319,45652,23/10/2022 11:16:25,174,pos_1666523785278347174,0.01,2,pos,,,,
